Campo_Tec;Area_Tec;Ano;Depósitos
Máquinas ferramentas;Engenharia mecânica;2002;158
Medição;Instrumentos;2002;158
Aparelhos e processos térmicos;Engenharia mecânica;2002;152
Química de materiais básicos;Química;2002;119
Produtos farmacêuticos;Química;2002;117
Química de alimentos;Química;2002;116
Tecnologia aplicada ao meio ambiente;Química;2002;115
Máquinas têxteis e de papel;Engenharia mecânica;2002;113
Telecomunicações;Engenharia elétrica;2002;108
Tecnologia da computação;Engenharia elétrica;2002;83
Materiais - metalurgia;Química;2002;71
Tecnologia de superfícies e revestimentos;Química;2002;47
Ótica;Instrumentos;2002;36
Biotecnologia;Química;2002;34
Química macromolecular e polímeros;Química;2002;32
Química orgânica fina;Química;2002;21
Análise de material biológico;Instrumentos;2002;18
Comunicação digital;Engenharia elétrica;2002;13
Processos básicos de comunicação;Engenharia elétrica;2002;9
Semicondutores;Engenharia elétrica;2002;4
Métodos de gestão em TI;Engenharia elétrica;2002;
Microestruturas e nanotecnologia;Química;2002;
Mobiliário - jogos;Outras áreas;2003;822
Engenharia civil;Outras áreas;2003;638
Outras maquinas especiais;Engenharia mecânica;2003;603
Manejo;Engenharia mecânica;2003;592
Outros bens de consumo;Outras áreas;2003;545
Transporte;Engenharia mecânica;2003;518
Tecnologia aplicada a medicina;Instrumentos;2003;419
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2003;274
Elementos mecânicos;Engenharia mecânica;2003;253
Máquinas ferramentas;Engenharia mecânica;2003;186
Medição;Instrumentos;2003;180
Controle;Instrumentos;2003;174
Tecnologia audiovisual;Engenharia elétrica;2003;172
Engenharia química;Química;2003;170
Motores - bombas - turbinas;Engenharia mecânica;2003;168
Produtos farmacêuticos;Química;2003;166
Aparelhos e processos térmicos;Engenharia mecânica;2003;162
Tecnologia aplicada ao meio ambiente;Química;2003;153
Máquinas têxteis e de papel;Engenharia mecânica;2003;126
Química de materiais básicos;Química;2003;124
Química de alimentos;Química;2003;113
Materiais - metalurgia;Química;2003;99
Telecomunicações;Engenharia elétrica;2003;94
Tecnologia da computação;Engenharia elétrica;2003;86
Tecnologia de superfícies e revestimentos;Química;2003;54
Biotecnologia;Química;2003;48
Ótica;Instrumentos;2003;37
Química macromolecular e polímeros;Química;2003;34
Química orgânica fina;Química;2003;28
Comunicação digital;Engenharia elétrica;2003;13
Análise de material biológico;Instrumentos;2003;11
Processos básicos de comunicação;Engenharia elétrica;2003;10
Semicondutores;Engenharia elétrica;2003;7
Microestruturas e nanotecnologia;Química;2003;2
Métodos de gestão em TI;Engenharia elétrica;2003;
Mobiliário - jogos;Outras áreas;2004;776
Engenharia civil;Outras áreas;2004;660
Manejo;Engenharia mecânica;2004;648
Outras maquinas especiais;Engenharia mecânica;2004;606
Outros bens de consumo;Outras áreas;2004;534
Transporte;Engenharia mecânica;2004;531
Tecnologia aplicada a medicina;Instrumentos;2004;417
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2004;283
Elementos mecânicos;Engenharia mecânica;2004;280
Máquinas ferramentas;Engenharia mecânica;2004;215
Tecnologia audiovisual;Engenharia elétrica;2004;204
Motores - bombas - turbinas;Engenharia mecânica;2004;199
Engenharia química;Química;2004;180
Controle;Instrumentos;2004;174
Medição;Instrumentos;2004;171
Produtos farmacêuticos;Química;2004;166
Química de materiais básicos;Química;2004;165
Aparelhos e processos térmicos;Engenharia mecânica;2004;148
Tecnologia aplicada ao meio ambiente;Química;2004;143
Química de alimentos;Química;2004;128
Máquinas têxteis e de papel;Engenharia mecânica;2004;127
Telecomunicações;Engenharia elétrica;2004;124
Materiais - metalurgia;Química;2004;110
Tecnologia da computação;Engenharia elétrica;2004;92
Tecnologia de superfícies e revestimentos;Química;2004;54
Química macromolecular e polímeros;Química;2004;41
Ótica;Instrumentos;2004;39
Química orgânica fina;Química;2004;33
Biotecnologia;Química;2004;33
Análise de material biológico;Instrumentos;2004;23
Comunicação digital;Engenharia elétrica;2004;19
Semicondutores;Engenharia elétrica;2004;9
Processos básicos de comunicação;Engenharia elétrica;2004;4
Microestruturas e nanotecnologia;Química;2004;3
Métodos de gestão em TI;Engenharia elétrica;2004;
Mobiliário - jogos;Outras áreas;2005;701
Outras maquinas especiais;Engenharia mecânica;2005;629
